keys,de,en,tr
CHEF_PUTZ_2_IHR,"Zieht die Planen von Theke, Bühne und Regalen. Den Dreck fegt ihr mit dem Besen zusammen — haltet E gedrückt, dann kommt er in einen Sack.","Pull the covers off the bar, the stage and the shelves. Sweep the dirt together with the broom — hold E and it goes into a bag.","Tezgahın, sahnenin ve rafların örtülerini çekin. Pislikleri süpürgeyle toplayın — E'ye basılı tutun, hepsi bir torbaya girer."
CHEF_PUTZ_3_DU,"Die Säcke trägst du raus zum Müllplatz links neben der Tür, die Müllabfuhr holt sie morgen früh. Wenn alles sauber ist, komm in mein Büro.","Carry the bags out to the bin area left of the door, the bin men collect them tomorrow morning. When everything is clean, come to my office.","Torbaları kapının solundaki çöp yerine taşı, çöpçüler yarın sabah alır. Her şey temizlenince ofisime gel."
CHEF_PUTZ_3_IHR,"Die Säcke tragt ihr raus zum Müllplatz links neben der Tür, die Müllabfuhr holt sie morgen früh. Wenn alles sauber ist, kommt in mein Büro.","Carry the bags out to the bin area left of the door, the bin men collect them tomorrow morning. When everything is clean, come to my office.","Torbaları kapının solundaki çöp yerine taşıyın, çöpçüler yarın sabah alır. Her şey temizlenince ofisime gelin."
HINT_PLANE,{interact} halten: Plane abziehen,Hold {interact}: pull off the cover,{interact} basılı tut: örtüyü çek
HINT_FEGEN,{interact} halten: fegen,Hold {interact}: sweep,{interact} basılı tut: süpür
HINT_MUELL_ABSTELLEN,{interact} Müllsack abstellen,{interact} Drop off rubbish bag,{interact} Çöp torbasını bırak
HINT_MUELL_NICHT_LAGER,Müll gehört raus zum Müllplatz,Rubbish goes out to the bin area,Çöp dışarıdaki çöp yerine gider
WORLD_MUELLSACK,Müllsack,Rubbish bag,Çöp torbası
CHEF_HUBER_DU,"Der Huber vom Nachbarzelt will Sepps Zelt schon ewig — es ist viel größer als seins. Aber der Sepp konnte ihn nicht ausstehen. Dem Huber hätte er's nie gegeben.","Huber from the tent next door has wanted Sepp's tent forever — it is much bigger than his. But Sepp could not stand him. He would never have let Huber have it.","Yan çadırdaki Huber, Sepp'in çadırını yıllardır istiyor — onunkinden çok daha büyük. Ama Sepp ona hiç katlanamazdı. Çadırı asla Huber'e vermezdi."
CHEF_HUBER_IHR,"Der Huber vom Nachbarzelt will Sepps Zelt schon ewig — es ist viel größer als seins. Aber der Sepp konnte ihn nicht ausstehen. Dem Huber hätte er's nie gegeben.","Huber from the tent next door has wanted Sepp's tent forever — it is much bigger than his. But Sepp could not stand him. He would never have let Huber have it.","Yan çadırdaki Huber, Sepp'in çadırını yıllardır istiyor — onunkinden çok daha büyük. Ama Sepp ona hiç katlanamazdı. Çadırı asla Huber'e vermezdi."
CHEF_NEIN_1_DU,"Schade … Dann bekommt's wohl der Huber, der hat schon dreimal gefragt. Der Sepp würde sich im Grab umdrehen.","What a shame … Then Huber will probably get it, he has asked three times already. Sepp would turn in his grave.","Ne yazık … O zaman büyük ihtimalle Huber alacak, üç kez sordu bile. Sepp mezarında ters dönerdi."
CHEF_NEIN_1_IHR,"Schade … Dann bekommt's wohl der Huber, der hat schon dreimal gefragt. Der Sepp würde sich im Grab umdrehen.","What a shame … Then Huber will probably get it, he has asked three times already. Sepp would turn in his grave.","Ne yazık … O zaman büyük ihtimalle Huber alacak, üç kez sordu bile. Sepp mezarında ters dönerdi."
HUBER_NAME,Alois Huber,Alois Huber,Alois Huber
HINT_HUBER,{interact} Mit Huber reden,{interact} Talk to Huber,{interact} Huber ile konuş
HUBER_SPOTT_1_DU,"Ah, Sepps Patenkind. Hast du überhaupt schon mal eine Maß gezapft? Ich geb dir zwei Wochen.","Ah, Sepp's godchild. Have you ever even poured a stein? I give you two weeks.","Ah, Sepp'in vaftiz çocuğu. Hiç bira doldurdun mu ki? Sana iki hafta veriyorum."
HUBER_SPOTT_1_IHR,"Ah, Sepps Erben. Habt ihr überhaupt schon mal eine Maß gezapft? Ich geb euch zwei Wochen.","Ah, Sepp's heirs. Have you ever even poured a stein? I give you two weeks.","Ah, Sepp'in varisleri. Hiç bira doldurdunuz mu ki? Size iki hafta veriyorum."
HUBER_SPOTT_2_DU,"Der Sepp hat vierzig Jahre gebraucht, um pleite zu gehen. Du schaffst das schneller, wetten?","Sepp took forty years to go broke. You will do it faster, I bet.","Sepp'in iflas etmesi kırk yıl sürdü. Sen daha hızlı yaparsın, bahse girerim."
HUBER_SPOTT_2_IHR,"Der Sepp hat vierzig Jahre gebraucht, um pleite zu gehen. Ihr schafft das schneller, wetten?","Sepp took forty years to go broke. You will do it faster, I bet.","Sepp'in iflas etmesi kırk yıl sürdü. Siz daha hızlı yaparsınız, bahse girerim."
HUBER_SPOTT_3_DU,"Wenn du aufgibst, sag Bescheid. Ich zahl dir sogar was fürs Zelt. Nicht viel, aber was.","If you give up, let me know. I will even pay you something for the tent. Not much, but something.","Pes edersen haber ver. Çadır için sana bir şey bile öderim. Çok değil ama bir şey."
HUBER_SPOTT_3_IHR,"Wenn ihr aufgebt, sagt Bescheid. Ich zahl euch sogar was fürs Zelt. Nicht viel, aber was.","If you give up, let me know. I will even pay you something for the tent. Not much, but something.","Pes ederseniz haber verin. Çadır için size bir şey bile öderim. Çok değil ama bir şey."
HUBER_KRIEG_1_DU,"Läuft ja überraschend gut bei dir. Wär doch schade, wenn plötzlich ein Fass ausläuft … rein zufällig.","Going surprisingly well for you. Would be a shame if a keg suddenly started leaking … purely by chance.","Şaşırtıcı derecede iyi gidiyor. Bir fıçı birden sızdırmaya başlasa yazık olurdu … tamamen tesadüfen."
HUBER_KRIEG_1_IHR,"Läuft ja überraschend gut bei euch. Wär doch schade, wenn plötzlich ein Fass ausläuft … rein zufällig.","Going surprisingly well for you. Would be a shame if a keg suddenly started leaking … purely by chance.","Şaşırtıcı derecede iyi gidiyor. Bir fıçı birden sızdırmaya başlasa yazık olurdu … tamamen tesadüfen."
HUBER_KRIEG_2_DU,"Riecht's bei dir im Zelt nicht ein bisserl komisch? Die Leute reden schon.","Doesn't your tent smell a little funny? People are already talking.","Çadırında biraz tuhaf bir koku yok mu? İnsanlar konuşmaya başladı bile."
HUBER_KRIEG_2_IHR,"Riecht's bei euch im Zelt nicht ein bisserl komisch? Die Leute reden schon.","Doesn't your tent smell a little funny? People are already talking.","Çadırınızda biraz tuhaf bir koku yok mu? İnsanlar konuşmaya başladı bile."
HUBER_KRIEG_3_DU,"Ich hab nix gemacht. Ich steh nur hier und trink mein Bier. Prost!","I have done nothing. I am just standing here drinking my beer. Cheers!","Ben bir şey yapmadım. Sadece burada durup biramı içiyorum. Şerefe!"
HUBER_KRIEG_3_IHR,"Ich hab nix gemacht. Ich steh nur hier und trink mein Bier. Prost!","I have done nothing. I am just standing here drinking my beer. Cheers!","Ben bir şey yapmadım. Sadece burada durup biramı içiyorum. Şerefe!"
HUBER_FINALE_1_DU,"Jetzt reicht's. Am letzten Wiesn-Tag machen wir das aus: Maß-Wettschleppen, vor allen Leuten.","That's enough. On the last day of the fair we settle this: a stein-carrying race, in front of everyone.","Yeter artık. Fuarın son günü bunu çözeriz: herkesin önünde kupa taşıma yarışı."
HUBER_FINALE_1_IHR,"Jetzt reicht's. Am letzten Wiesn-Tag machen wir das aus: Maß-Wettschleppen, vor allen Leuten.","That's enough. On the last day of the fair we settle this: a stein-carrying race, in front of everyone.","Yeter artık. Fuarın son günü bunu çözeriz: herkesin önünde kupa taşıma yarışı."
HUBER_FINALE_2_DU,"Verlierst du, sagst du laut, dass der Sepp ein Stümper war. Gewinnst du … na, das wird nicht passieren.","If you lose, you say out loud that Sepp was a bungler. If you win … well, that won't happen.","Kaybedersen, Sepp'in beceriksiz olduğunu yüksek sesle söylersin. Kazanırsan … neyse, o olmayacak."
HUBER_FINALE_2_IHR,"Verliert ihr, sagt ihr laut, dass der Sepp ein Stümper war. Gewinnt ihr … na, das wird nicht passieren.","If you lose, you say out loud that Sepp was a bungler. If you win … well, that won't happen.","Kaybederseniz, Sepp'in beceriksiz olduğunu yüksek sesle söylersiniz. Kazanırsanız … neyse, o olmayacak."
HUBER_PLEITE_DU,"Na, braucht's a Darlehen? Ich kauf dir das Zelt gern ab. Zum Freundschaftspreis.","Well, need a loan? I will gladly buy the tent off you. At a friendly price.","Ee, borç lazım mı? Çadırı senden seve seve alırım. Dostluk fiyatına."
HUBER_PLEITE_IHR,"Na, braucht's a Darlehen? Ich kauf euch das Zelt gern ab. Zum Freundschaftspreis.","Well, need a loan? I will gladly buy the tent off you. At a friendly price.","Ee, borç lazım mı? Çadırı sizden seve seve alırım. Dostluk fiyatına."
HUBER_WETTE_MASS,heute mindestens %d Gäste bedienen,serve at least %d guests today,bugün en az %d misafire servis yapmak
HUBER_WETTE_SAUBER,heute keine einzige Pfütze im Zelt,not a single puddle in the tent today,bugün çadırda tek bir birikinti bile olmaması
HUBER_WETTE_BESCHWERDE,heute keine einzige Beschwerde,not a single complaint today,bugün tek bir şikayet bile olmaması
HUBER_WETTE_FRAGE_DU,"Ich wette, das schaffst du nicht: %s. Einsatz %s. Traust du dich?","I bet you can't: %s. Stake %s. Dare you?","Bahse girerim yapamazsın: %s. Bahis %s. Cesaretin var mı?"
HUBER_WETTE_FRAGE_IHR,"Ich wette, das schafft ihr nicht: %s. Einsatz %s. Traut ihr euch?","I bet you can't: %s. Stake %s. Dare you?","Bahse girerim yapamazsınız: %s. Bahis %s. Cesaretiniz var mı?"
HUBER_WETTE_LAEUFT_DU,Vergiss unsere Wette nicht: %s.,Don't forget our bet: %s.,Bahsimizi unutma: %s.
HUBER_WETTE_LAEUFT_IHR,Vergesst unsere Wette nicht: %s.,Don't forget our bet: %s.,Bahsimizi unutmayın: %s.
HUBER_WAHL_JA_DU,"Die Wette gilt!","You're on!","Bahis tamam!"
HUBER_WAHL_JA_IHR,"Die Wette gilt!","You're on!","Bahis tamam!"
HUBER_WAHL_NEIN_DU,"Nein, danke","No, thanks","Hayır, sağ ol"
HUBER_WAHL_NEIN_IHR,"Nein, danke","No, thanks","Hayır, sağ ol"
HUBER_JA_DU,"Hehe. Heut Abend zahlst du. Schreib's dir auf.","Hehe. Tonight you pay. Write it down.","Hehe. Bu akşam sen ödüyorsun. Not al."
HUBER_JA_IHR,"Hehe. Heut Abend zahlt ihr. Schreibt's euch auf.","Hehe. Tonight you pay. Write it down.","Hehe. Bu akşam siz ödüyorsunuz. Not alın."
HUBER_NEIN_DU,"Feigling. Der Sepp hätte wenigstens gewettet.","Coward. Sepp would at least have taken the bet.","Korkak. Sepp en azından bahse girerdi."
HUBER_NEIN_IHR,"Feiglinge. Der Sepp hätte wenigstens gewettet.","Cowards. Sepp would at least have taken the bet.","Korkaklar. Sepp en azından bahse girerdi."
MSG_HUBER_WETTE,Huber hat eine Wette für euch — sprecht ihn vor seinem Zelt an,Huber has a bet for you — talk to him outside his tent,Huber'in size bir bahsi var — çadırının önünde onunla konuşun
MSG_HUBER_WETTE_AN,Wette mit Huber angenommen — Einsatz %s,Bet with Huber accepted — stake %s,Huber ile bahis kabul edildi — bahis %s
MSG_HUBER_WETTE_GEWONNEN,Wette gewonnen! Huber zahlt zähneknirschend %s,Bet won! Huber grudgingly pays %s,Bahis kazanıldı! Huber dişlerini sıkarak %s ödüyor
MSG_HUBER_WETTE_VERLOREN,Wette verloren — Huber kassiert grinsend %s,Bet lost — Huber collects %s with a grin,Bahis kaybedildi — Huber sırıtarak %s alıyor
MSG_SABOTAGE_FASS,Ein Fass läuft aus! Schnell aufwischen — jede Sekunde kostet Bier. Das war doch der Huber …,A keg is leaking! Mop it up fast — every second costs beer. That was Huber …,Bir fıçı sızdırıyor! Hemen sil — her saniye biraya mal oluyor. Bu Huber'di …
MSG_SABOTAGE_STINK,Stinkbombe im Zelt! Putzen — die Gäste rümpfen schon die Nase. Huber lässt grüßen …,Stink bomb in the tent! Clean up — guests are wrinkling their noses. Regards from Huber …,Çadırda koku bombası! Temizleyin — misafirler burun kıvırıyor. Huber'den selamlar …
WORLD_LECK,Leck! ({interact} halten),Leak! (hold {interact}),Sızıntı! ({interact} basılı tut)
HUD_HUBER_WETTE,Wette mit Huber: %s (Einsatz %s),Bet with Huber: %s (stake %s),Huber ile bahis: %s (bahis %s)
HUD_HUBER_ANGEBOT,Huber bietet eine Wette an — sprich ihn an,Huber is offering a bet — talk to him,Huber bahis teklif ediyor — onunla konuş
DUELL_TITEL,Maß-Wettschleppen,Stein-Carrying Race,Kupa Taşıma Yarışı
DUELL_START_ZIEL,Start · Ziel,Start · Finish,Başlangıç · Bitiş
DUELL_LOS,Los!,Go!,Başla!
DUELL_HUBER_TOR,Huber: Tor %d,Huber: gate %d,Huber: kapı %d
DUELL_HUBER_FERTIG,Huber: %.1f s,Huber: %.1f s,Huber: %.1f sn
DUELL_HINWEIS,"Durch alle %d Tore und zurück ins Ziel. Nicht rennen, nicht scharf lenken — sonst schwappt's über (+2,5 s je Maß).","Through all %d gates and back to the finish. Don't run, don't turn sharply — or it spills (+2.5 s per stein).","%d kapının hepsinden geçip bitişe dön. Koşma, sert dönme — yoksa taşar (kupa başına +2,5 sn)."
MSG_DUELL_ERGEBNIS,"Wettschleppen: %.1f s (%d verschüttet) — Huber %.1f s","Stein race: %.1f s (%d spilled) — Huber %.1f s","Kupa yarışı: %.1f sn (%d döküldü) — Huber %.1f sn"
HUBER_DUELL_1_DU,"Heut ist der letzte Wiesn-Tag. Zeit, dass wir das klären.","Today is the last day of the fair. Time to settle this.","Bugün fuarın son günü. Bunu halletme zamanı."
HUBER_DUELL_1_IHR,"Heut ist der letzte Wiesn-Tag. Zeit, dass wir das klären.","Today is the last day of the fair. Time to settle this.","Bugün fuarın son günü. Bunu halletme zamanı."
HUBER_DUELL_2_DU,"Zehn Maß, einmal durch alle Tore und zurück. Wer schneller ist und weniger verschüttet, gewinnt. Verlierst du, gibst du zu, dass der Sepp ein Stümper war.","Ten steins, once through all the gates and back. Whoever is faster and spills less wins. If you lose, you admit Sepp was a bungler.","On kupa, bütün kapılardan geçip geri. Kim daha hızlı olur ve daha az dökerse kazanır. Kaybedersen Sepp'in beceriksiz olduğunu kabul edersin."
HUBER_DUELL_2_IHR,"Zehn Maß, einmal durch alle Tore und zurück. Wer schneller ist und weniger verschüttet, gewinnt. Verliert ihr, gebt ihr zu, dass der Sepp ein Stümper war.","Ten steins, once through all the gates and back. Whoever is faster and spills less wins. If you lose, you admit Sepp was a bungler.","On kupa, bütün kapılardan geçip geri. Kim daha hızlı olur ve daha az dökerse kazanır. Kaybederseniz Sepp'in beceriksiz olduğunu kabul edersiniz."
HUBER_DUELL_FRAGE_DU,Also — traust du dich? Jetzt gleich?,So — dare you? Right now?,Peki — cesaretin var mı? Hemen şimdi?
HUBER_DUELL_FRAGE_IHR,Also — traut ihr euch? Jetzt gleich?,So — dare you? Right now?,Peki — cesaretiniz var mı? Hemen şimdi?
HUBER_DUELL_JA_DU,Für Sepps Ehre!,For Sepp's honour!,Sepp'in onuru için!
HUBER_DUELL_JA_IHR,Für Sepps Ehre!,For Sepp's honour!,Sepp'in onuru için!
HUBER_DUELL_NEIN_DU,Gleich — ich muss mich noch warm machen,In a bit — I need to warm up,Birazdan — ısınmam lazım
HUBER_DUELL_NEIN_IHR,Gleich — wir müssen uns noch warm machen,In a bit — we need to warm up,Birazdan — ısınmamız lazım
HUBER_DUELL_SPAETER_DU,"Hehe, weiche Knie? Ich wart hier. Aber nicht ewig.","Hehe, weak knees? I'll wait here. But not forever.","Hehe, dizlerin mi titriyor? Burada bekliyorum. Ama sonsuza kadar değil."
HUBER_DUELL_SPAETER_IHR,"Hehe, weiche Knie? Ich wart hier. Aber nicht ewig.","Hehe, weak knees? I'll wait here. But not forever.","Hehe, dizleriniz mi titriyor? Burada bekliyorum. Ama sonsuza kadar değil."
HUBER_BESIEGT_1_DU,"Das … das gibt's doch nicht. Geschlagen. Von Sepps Patenkind.","That … that can't be. Beaten. By Sepp's godchild.","Bu … bu olamaz. Yenildim. Sepp'in vaftiz çocuğuna."
HUBER_BESIEGT_1_IHR,"Das … das gibt's doch nicht. Geschlagen. Von Sepps Erben.","That … that can't be. Beaten. By Sepp's heirs.","Bu … bu olamaz. Yenildim. Sepp'in varislerine."
HUBER_BESIEGT_2_DU,"Also gut. Ich sag's laut: Der Sepp war ein guter Wirt. Der beste. Zufrieden?","All right. I'll say it out loud: Sepp was a good landlord. The best. Happy?","Peki. Yüksek sesle söylüyorum: Sepp iyi bir hancıydı. En iyisi. Memnun musun?"
HUBER_BESIEGT_2_IHR,"Also gut. Ich sag's laut: Der Sepp war ein guter Wirt. Der beste. Zufrieden?","All right. I'll say it out loud: Sepp was a good landlord. The best. Happy?","Peki. Yüksek sesle söylüyorum: Sepp iyi bir hancıydı. En iyisi. Memnun musunuz?"
HUBER_SIEGT_1_DU,"Hahaha! Zu langsam, zu nass. Na los, sag's: Der Sepp war ein Stümper!","Hahaha! Too slow, too wet. Go on, say it: Sepp was a bungler!","Hahaha! Çok yavaş, çok ıslak. Hadi söyle: Sepp beceriksizdi!"
HUBER_SIEGT_1_IHR,"Hahaha! Zu langsam, zu nass. Na los, sagt's: Der Sepp war ein Stümper!","Hahaha! Too slow, too wet. Go on, say it: Sepp was a bungler!","Hahaha! Çok yavaş, çok ıslak. Hadi söyleyin: Sepp beceriksizdi!"
HUBER_SIEGT_2_DU,"… Revanche? Meinetwegen. Heute bin ich großzügig. Sprich mich einfach nochmal an.","… A rematch? Fine by me. I'm feeling generous today. Just talk to me again.","… Rövanş mı? Olur. Bugün cömert günümdeyim. Benimle tekrar konuş yeter."
HUBER_SIEGT_2_IHR,"… Revanche? Meinetwegen. Heute bin ich großzügig. Sprecht mich einfach nochmal an.","… A rematch? Fine by me. I'm feeling generous today. Just talk to me again.","… Rövanş mı? Olur. Bugün cömert günümdeyim. Benimle tekrar konuşun yeter."
HUBER_NACH_SIEG_DU,"Jaja, schon gut. Nächstes Jahr krieg ich dich. Prost.","Yeah, yeah, fine. Next year I'll get you. Cheers.","Tamam tamam. Seneye seni yakalayacağım. Şerefe."
HUBER_NACH_SIEG_IHR,"Jaja, schon gut. Nächstes Jahr krieg ich euch. Prost.","Yeah, yeah, fine. Next year I'll get you. Cheers.","Tamam tamam. Seneye sizi yakalayacağım. Şerefe."
BRIEF_ENDE_TITEL,Ein letzter Brief von Onkel Sepp,One last letter from Uncle Sepp,Sepp Amca'dan son bir mektup
BRIEF_SCHLIESSEN,Linksklick: schließen,Left click: close,Sol tık: kapat
BRIEF_ENDE_1_DU,"Der Wiesnchef hat mir versprochen, dir das hier erst zu geben, wenn du den Huber geschlagen hast. Wenn du das liest: Ich hab's immer gewusst.","The fair manager promised me to give you this only once you had beaten Huber. If you are reading this: I always knew it.","Fuar müdürü bunu sana ancak Huber'i yendiğinde vereceğine söz verdi. Bunu okuyorsan: Hep biliyordum."
BRIEF_ENDE_1_IHR,"Der Wiesnchef hat mir versprochen, euch das hier erst zu geben, wenn ihr den Huber geschlagen habt. Wenn ihr das lest: Ich hab's immer gewusst.","The fair manager promised me to give you this only once you had beaten Huber. If you are reading this: I always knew it.","Fuar müdürü bunu size ancak Huber'i yendiğinizde vereceğine söz verdi. Bunu okuyorsanız: Hep biliyordum."
BRIEF_ENDE_2_DU,"Das Zelt gehört jetzt wirklich dir. Mach's besser als ich, und vergiss nie: Eine kalte Maß und ein freundliches Wort — mehr braucht's nicht.

Prost, mein Patenkind.
Dein Onkel Sepp","The tent is truly yours now. Do better than I did, and never forget: a cold stein and a kind word — that is all it takes.

Cheers, my godchild.
Your Uncle Sepp","Çadır artık gerçekten senin. Benden daha iyisini yap ve asla unutma: soğuk bir kupa ve güzel bir söz — başka bir şey gerekmez.

Şerefe, vaftiz çocuğum.
Sepp Amcan"
BRIEF_ENDE_2_IHR,"Das Zelt gehört jetzt wirklich euch. Macht's besser als ich, und vergesst nie: Eine kalte Maß und ein freundliches Wort — mehr braucht's nicht.

Prost, ihr Lieben.
Euer Onkel Sepp","The tent is truly yours now. Do better than I did, and never forget: a cold stein and a kind word — that is all it takes.

Cheers, my dears.
Your Uncle Sepp","Çadır artık gerçekten sizin. Benden daha iyisini yapın ve asla unutmayın: soğuk bir kupa ve güzel bir söz — başka bir şey gerekmez.

Şerefe, sevgililerim.
Sepp Amcanız"
ZEITUNG_NAME,Wiesn-Kurier,Fair Courier,Fuar Postası
ZEITUNG_AUSGABE,Abendausgabe · Tag %d · 20 Pfennig,Evening edition · Day %d · 20 pence,Akşam baskısı · Gün %d · 20 kuruş
ZEITUNG_SCHLIESSEN,Klick / E: Zeitung weglegen,Click / E: put the paper away,Tık / E: gazeteyi bırak
ZEITUNG_ZAHLEN,"Heute: %d Gäste bedient · %s Umsatz · Beliebtheit %d %%","Today: %d guests served · %s in sales · popularity %d %%","Bugün: %d misafire servis · %s ciro · popülerlik %%%d"
ZEITUNG_LEER,Gähnende Leere im Zelt „%s“,Deathly quiet at „%s“,%s'da derin sessizlik
ZEITUNG_LEER_UNTER,Kein einziger Gast bedient — die Blaskapelle spielte für die Tauben.,Not a single guest served — the brass band played for the pigeons.,Tek bir misafire bile servis yapılmadı — bando güvercinlere çaldı.
ZEITUNG_BESCHWERDEN,Beschwerdeflut im Zelt „%s“!,Flood of complaints at „%s“!,%s'da şikayet yağmuru!
ZEITUNG_BESCHWERDEN_UNTER,"%d Gäste beschwerten sich — der Wiesnchef runzelt die Stirn.","%d guests complained — the fair manager is frowning.","%d misafir şikayet etti — fuar müdürü kaşlarını çattı."
ZEITUNG_PFUETZEN,Pfützen-Alarm im Zelt „%s“,Puddle alert at „%s“,%s'da birikinti alarmı
ZEITUNG_PFUETZEN_UNTER,"%d Pfützen in einer Schicht. Leser fragen: Gibt es dort überhaupt ein Klo?","%d puddles in one shift. Readers ask: is there even a toilet?","Bir vardiyada %d birikinti. Okurlar soruyor: orada tuvalet var mı?"
ZEITUNG_GEGANGEN,%d Gäste gehen durstig heim,%d guests go home thirsty,%d misafir susuz eve gitti
ZEITUNG_GEGANGEN_UNTER,"Lange Wartezeiten im Zelt „%s“ — die Geduld der Wiesnbesucher ist endlich.","Long waits at „%s“ — fairgoers' patience has limits.","%s'da uzun bekleme — ziyaretçilerin sabrı sınırlı."
ZEITUNG_VERLUST,Rote Zahlen im Zelt „%s“,In the red at „%s“,%s zararda
ZEITUNG_VERLUST_UNTER,Der Tag hat mehr gekostet als eingebracht. Huber lacht sich ins Fäustchen.,The day cost more than it brought in. Huber is laughing up his sleeve.,Gün getirdiğinden fazlasına mal oldu. Huber bıyık altından gülüyor.
ZEITUNG_REKORD,Rekord! %d Gäste an einem Tag,Record! %d guests in one day,Rekor! Bir günde %d misafir
ZEITUNG_REKORD_UNTER,"Im Zelt „%s“ fließt das Bier wie zu Sepps besten Zeiten.","At „%s“ the beer flows like in Sepp's best days.","%s'da bira Sepp'in en iyi günlerindeki gibi akıyor."
ZEITUNG_BELIEBT,„%s“ — bald das beliebteste Zelt der Wiesn?,%s — soon the most popular tent of the fair?,%s — yakında fuarın en sevilen çadırı mı?
ZEITUNG_BELIEBT_UNTER,Besucher schwärmen von kalter Maß und freundlicher Bedienung.,Visitors rave about cold beer and friendly service.,Ziyaretçiler soğuk bira ve güler yüzlü servise hayran.
ZEITUNG_SOLIDE,Solider Tag im Zelt „%s“: %d Gäste bedient,A solid day at „%s“: %d guests served,%s'da sağlam bir gün: %d misafire servis
ZEITUNG_SOLIDE_UNTER,"Keine Katastrophe, kein Rekord — die Wiesn läuft.","No disaster, no record — the fair rolls on.","Felaket yok, rekor yok — fuar devam ediyor."
ZEITUNG_M_KREDIT,Brauerei bestätigt: Sepps Erben stehen in der Kreide.,Brewery confirms: Sepp's heirs are in debt.,Bira fabrikası doğruladı: Sepp'in varisleri borçlu.
ZEITUNG_M_BANK,Bank erinnert: Rate fällig am Abend von Tag %d (%s).,Bank reminds: instalment due on the evening of day %d (%s).,Banka hatırlatıyor: taksit %d. günün akşamı (%s).
ZEITUNG_M_KLO,Leserbrief: „Warum hat das Festzelt kein Klo?“,Letter to the editor: “Why doesn't the tent have a toilet?”,Okur mektubu: “Çadırda neden tuvalet yok?”
ZEITUNG_M_KELLNER,Gäste klagen über lange Wartezeiten — fehlt es an Kellnern?,Guests complain about long waits — not enough waiters?,Misafirler uzun beklemeden şikayetçi — garson mu eksik?
ZEITUNG_M_HUBER_1,Huber-Zelt kündigt „die kälteste Maß der Wiesn“ an.,Huber's tent promises “the coldest stein of the fair”.,Huber'in çadırı “fuarın en soğuk birası” sözü veriyor.
ZEITUNG_M_HUBER_2,Alois Huber im Interview: „Sepps Zelt? Das hält keine Woche.“,Alois Huber in an interview: “Sepp's tent? Won't last a week.”,Alois Huber röportajda: “Sepp'in çadırı mı? Bir hafta dayanmaz.”
ZEITUNG_M_HUBER_3,Gerücht: Huber soll nachts um fremde Zelte schleichen.,Rumour: Huber is said to sneak around other tents at night.,Söylenti: Huber'in geceleri başka çadırların etrafında dolaştığı söyleniyor.
ZEITUNG_M_HUBER_4,Huber verlost Freibier — aber nur für Stammgäste.,Huber raffles free beer — regulars only.,Huber bedava bira çekilişi yapıyor — sadece müdavimlere.
ACTION_KALENDER,Kalender,Calendar,Takvim
KALENDER_TITEL,Wiesn-Kalender · Saison %d,Fair calendar · season %d,Fuar takvimi · sezon %d
KALENDER_LEGENDE,"Heute ist hervorgehoben. Bankrate am Abend · Huber bietet eine Wette an · Duell um Sepps Ehre · K oder Esc schließt","Today is highlighted. bank instalment in the evening · Huber offers a bet · duel for Sepp's honour · K or Esc closes","Bugün vurgulandı. akşam banka taksiti · Huber bahis teklif ediyor · Sepp'in onuru için düello · K veya Esc kapatır"
KALENDER_ERSTER,Erster Wiesn-Tag,First day of the fair,Fuarın ilk günü
KALENDER_BANK,%s,%s,%s
KALENDER_WETTE,Huber-Wette,Huber bet,Huber bahsi
KALENDER_DUELL,Duell mit Huber,Duel with Huber,Huber ile düello
EREIGNIS_ANSTICH_TITEL,Anstich — O'zapft is!,Tapping — O'zapft is!,Fıçı açılışı — O'zapft is!
EREIGNIS_ANSTICH_START,"Anstich! Der erste Wiesn-Tag lockt viele Neugierige ins Zelt.","Tapping day! The first day of the fair draws plenty of curious visitors.","Fıçı açılışı! Fuarın ilk günü çok sayıda meraklı çekiyor."
EREIGNIS_TRACHT_TITEL,Trachtenumzug,Costume parade,Geleneksel kıyafet alayı
EREIGNIS_TRACHT_START,"Trachtenumzug! Viele Trachtler kommen ins Zelt — und die trinken nur Helles.","Costume parade! Lots of people in traditional dress come in — and they only drink Helles.","Geleneksel kıyafet alayı! Çok sayıda kişi geliyor — ve sadece Helles içiyorlar."
EREIGNIS_FAMILIE_TITEL,Familientag,Family day,Aile günü
EREIGNIS_FAMILIE_START,"Familientag! Mehr Essen, weniger Bier — und die Gäste warten geduldiger.","Family day! More food, less beer — and guests wait more patiently.","Aile günü! Daha çok yemek, daha az bira — ve misafirler daha sabırlı."
EREIGNIS_ITALIENER_TITEL,Italiener-Wochenende,Italian weekend,İtalyan hafta sonu
EREIGNIS_ITALIENER_START,"Italiener-Wochenende! Busweise Touristen — das Zelt wird rappelvoll.","Italian weekend! Busloads of tourists — the tent will be packed.","İtalyan hafta sonu! Otobüs dolusu turist — çadır tıklım tıklım olacak."
DECO_AKTENSCHRANK,Aktenschrank,Filing cabinet,Dosya dolabı
DECO_AKTENSCHRANK_INFO,Holzschrank mit vier Schubladen — fürs Zeltbüro.,Wooden cabinet with four drawers — for the tent office.,Dört çekmeceli ahşap dolap — çadır ofisi için.
DECO_ORDNERREGAL,Ordnerregal,Folder shelf,Klasör rafı
DECO_ORDNERREGAL_INFO,Regal voller bunter Ordner — Ordnung muss sein.,Shelf full of colourful folders — order is everything.,Renkli klasörlerle dolu raf — düzen şart.
